doy,month,peak_ghi_wm2,daily_energy_wh_m2,daytime_mean_ghi,cvi
221,8,708.2,2855.9,218.1,0.8
222,8,736.9,2525.8,193.8,0.8
223,8,690.3,2803.6,217.0,0.8
224,8,723.0,2609.4,198.7,0.8
225,8,742.0,2836.2,216.0,0.8
226,8,741.7,2933.9,227.1,0.8
227,8,676.6,2866.2,217.8,0.8
228,8,739.5,2985.6,229.7,0.8
229,8,734.6,2576.2,195.2,0.8
230,8,734.3,2588.5,195.9,0.8
231,8,727.5,2921.3,223.9,0.8
232,8,668.0,2817.8,213.1,0.8
233,8,719.3,2920.4,221.1,0.8
234,8,704.6,2920.5,223.3,0.8
235,8,751.0,2912.7,220.8,0.8
236,8,730.8,2742.9,209.4,0.8
237,8,726.8,3239.6,243.7,0.8
238,8,724.9,2624.0,201.4,0.8
239,8,725.1,2847.9,214.5,0.8
240,8,719.1,2879.8,223.0,0.8
241,8,741.6,2550.4,197.3,0.8
242,8,726.7,2700.7,204.9,0.8
243,8,728.5,2507.9,190.9,0.8
244,9,659.5,2838.5,232.2,0.65
245,9,774.5,2668.8,221.0,0.65
246,9,778.2,2626.6,213.7,0.65
247,9,780.4,2840.2,235.7,0.65
248,9,783.6,2360.2,196.1,0.65
249,9,780.8,2410.4,200.3,0.65
250,9,777.3,2409.6,196.6,0.65
251,9,768.8,3026.2,250.0,0.65
252,9,788.0,2644.8,219.8,0.65
253,9,733.1,2648.9,218.4,0.65
254,9,725.6,2542.9,211.9,0.65
255,9,787.4,2519.6,211.7,0.65
256,9,753.6,2656.9,221.8,0.65
257,9,790.8,2945.4,240.7,0.65
258,9,746.0,2966.2,249.0,0.65
259,9,781.8,2846.8,238.0,0.65
260,9,758.0,2503.1,204.4,0.65
261,9,713.0,2621.1,218.2,0.65
262,9,781.3,2349.8,191.3,0.65
263,9,774.9,2949.3,243.2,0.65
264,9,740.8,3324.5,276.1,0.65
265,9,756.4,3205.0,260.9,0.65
266,9,775.3,2886.5,237.7,0.65
267,9,775.6,2792.9,229.7,0.65
268,9,681.4,2385.6,199.6,0.65
269,9,759.5,2888.5,235.7,0.65
270,9,772.5,2788.8,229.1,0.65
271,9,766.7,2567.1,208.9,0.65
272,9,766.1,2622.1,214.5,0.65
273,9,769.8,2971.2,249.1,0.65
274,10,910.4,3976.1,345.3,0.3
275,10,948.8,4134.8,361.1,0.3
276,10,919.4,4362.9,381.1,0.3
277,10,941.0,3811.1,335.7,0.3
278,10,907.0,3805.2,332.3,0.3
279,10,888.2,4017.7,349.4,0.3
280,10,949.4,3885.4,336.9,0.3
281,10,937.2,4503.5,391.1,0.3
282,10,897.8,3931.9,340.9,0.3
283,10,940.5,4085.6,357.3,0.3
284,10,800.4,3772.0,329.4,0.3
285,10,848.3,4513.3,393.7,0.3
286,10,854.2,4249.8,376.6,0.3
287,10,880.7,3793.4,329.9,0.3
288,10,807.7,4186.8,367.8,0.3
289,10,829.7,4528.9,395.1,0.3
290,10,956.0,3814.1,335.0,0.3
291,10,931.3,4464.1,387.2,0.3
292,10,829.0,3973.4,345.6,0.3
293,10,912.6,4339.9,382.9,0.3
294,10,943.7,4184.6,363.4,0.3
295,10,840.0,4061.3,355.2,0.3
296,10,926.6,4052.4,354.4,0.3
297,10,807.0,3895.8,342.7,0.3
298,10,896.4,3768.9,331.1,0.3
299,10,951.8,4291.4,373.7,0.3
300,10,941.9,3945.9,348.7,0.3
301,10,932.0,3886.2,341.4,0.3
302,10,940.8,4451.7,389.4,0.3
303,10,819.2,4122.8,357.5,0.3
304,10,910.0,4197.3,365.6,0.3
305,11,852.7,5396.6,489.3,0.18
306,11,844.2,4942.8,448.2,0.18
307,11,840.0,5345.3,484.7,0.18
308,11,968.0,4640.5,420.7,0.18
309,11,940.5,4801.2,435.3,0.18
310,11,910.6,5229.0,474.2,0.18
311,11,902.8,5259.6,476.9,0.18
312,11,881.1,5505.0,499.2,0.18
313,11,931.6,5388.0,488.6,0.18
314,11,858.5,5273.8,479.0,0.18
315,11,845.1,4876.0,443.4,0.18
316,11,843.1,5467.6,496.5,0.18
317,11,920.1,5473.3,496.3,0.18
318,11,947.4,5179.3,469.6,0.18
319,11,849.1,5002.8,453.6,0.18
320,11,936.2,5158.5,467.7,0.18
321,11,958.1,5460.7,496.6,0.18
322,11,978.4,5257.8,477.5,0.18
323,11,848.8,5603.4,508.2,0.18
324,11,842.3,4953.5,449.1,0.18
325,11,840.9,5361.0,486.8,0.18
326,11,843.6,5104.1,462.8,0.18
327,11,845.4,5255.9,476.5,0.18
328,11,851.1,5027.9,456.6,0.18
329,11,842.1,5023.1,455.5,0.18
330,11,965.0,4788.9,434.2,0.18
331,11,839.9,5374.1,488.1,0.18
332,11,842.0,5485.7,498.2,0.18
333,11,972.1,5163.3,468.9,0.18
334,11,845.3,5416.7,491.2,0.18
335,12,904.8,5109.0,481.4,0.15
336,12,837.3,4934.9,466.5,0.15
337,12,834.2,4716.1,445.1,0.15
338,12,844.9,4933.3,467.0,0.15
339,12,831.2,4995.2,470.0,0.15
340,12,833.1,5078.3,480.8,0.15
341,12,842.3,5043.9,475.3,0.15
342,12,823.2,4697.4,442.6,0.15
343,12,976.1,4704.9,446.8,0.15
344,12,826.3,5128.8,484.0,0.15
345,12,839.0,4783.8,450.1,0.15
346,12,882.6,5032.4,473.5,0.15
347,12,832.4,4242.3,399.1,0.15
348,12,922.7,5117.0,482.2,0.15
349,12,974.5,5095.5,479.4,0.15
350,12,833.8,4176.6,392.8,0.15
351,12,961.5,4952.1,465.9,0.15
352,12,838.4,4740.8,446.0,0.15
353,12,938.4,4614.9,434.1,0.15
354,12,837.2,5037.0,474.0,0.15
355,12,921.8,5340.4,502.5,0.15
356,12,894.3,5057.1,476.5,0.15
357,12,826.3,4869.3,458.1,0.15
358,12,972.6,4817.5,453.3,0.15
359,12,832.1,4949.9,466.4,0.15
360,12,859.0,4803.7,451.3,0.15
361,12,838.8,5103.7,480.1,0.15
362,12,957.0,4631.7,435.8,0.15
363,12,828.0,4739.9,450.2,0.15
364,12,848.4,4723.0,444.3,0.15
365,12,842.7,5130.5,482.7,0.15
