time_minutes,hour_decimal,Jan_DOY015,Apr_DOY105,Jul_DOY196,Sep_DOY258,Oct_DOY289,Dec_DOY350
218,3.6333,0.0,,,,,
219,3.65,0.0,,,,,
220,3.6667,0.0,,,,,
221,3.6833,0.0,,,,,
222,3.7,0.0,,,,,
223,3.7167,0.0,,,,,
224,3.7333,0.0,,,,,
225,3.75,0.0,,,,,
226,3.7667,0.0,,,,,
227,3.7833,0.0,,,,,
228,3.8,0.0,,,,,
229,3.8167,0.0,,,,,
230,3.8333,0.0,,,,,
231,3.85,0.0,,,,,
232,3.8667,0.0,,,,,
233,3.8833,0.0,,,,,
234,3.9,0.0,,,,,
235,3.9167,0.0,,,,,
236,3.9333,0.0,,,,,
237,3.95,0.0,,,,,
238,3.9667,0.0,,,,,
239,3.9833,0.0,,,,,
240,4.0,0.0,,,,,
241,4.0167,0.0,,,,,
242,4.0333,0.0,,,,,
243,4.05,0.0,,,,,
244,4.0667,0.0,,,,,
245,4.0833,0.0,,,,,
246,4.1,0.0,,,,,
247,4.1167,0.0,,,,,
248,4.1333,0.0,,,,,
249,4.15,0.0,,,,,
250,4.1667,0.0,,,,,
251,4.1833,0.0,,,,,
252,4.2,0.0,,,,,
253,4.2167,0.0,,,,,
254,4.2333,0.0,,,,,
255,4.25,0.0,,,,,
256,4.2667,0.0,,,,,
257,4.2833,0.0,,,,,
258,4.3,0.0,,,,,
259,4.3167,0.0,,,,,
260,4.3333,0.0,,,,,
261,4.35,0.0,,,,,
262,4.3667,0.0,,,,,
263,4.3833,0.0,,,,,
264,4.4,0.0,,,,,
265,4.4167,0.0,,,,,
266,4.4333,0.0,,,,,
267,4.45,0.0,,,,,
268,4.4667,0.0,,,,,
269,4.4833,0.0,,,,,
270,4.5,0.0,,,,,
271,4.5167,0.0,,,,,
272,4.5333,0.0,,,,,
273,4.55,0.0,,,,,
274,4.5667,0.0,,,,,
275,4.5833,0.0,,,,,
276,4.6,0.0,,,,,
277,4.6167,0.0,,,,,
278,4.6333,0.0,,,,,
279,4.65,0.0,,,,,
280,4.6667,0.0,,,,,
281,4.6833,0.0,,,,,
282,4.7,0.0,,,,,
283,4.7167,0.0,,,,,
284,4.7333,0.0,,,,,
285,4.75,0.0,,,,,
286,4.7667,0.0,,,,,
287,4.7833,0.0,,,,,
288,4.8,0.0,,,,,
289,4.8167,0.0,,,,,
290,4.8333,0.0,,,,,
291,4.85,0.0,,,,,
292,4.8667,0.0,,,,,
293,4.8833,0.0,,,,,
294,4.9,0.0,,,,,
295,4.9167,0.0,,,,,
296,4.9333,0.0,,,,,
297,4.95,0.0,,,,,
298,4.9667,0.0,,,,,
299,4.9833,0.0,,,,,
300,5.0,0.0,,,,,
301,5.0167,0.0,,,,,
302,5.0333,0.0,,,,,
303,5.05,0.0,,,,,
304,5.0667,0.0,,,,,
305,5.0833,0.0,,,,,
306,5.1,0.0,,,,,
307,5.1167,0.0,,,,,
308,5.1333,0.0,,,,,
309,5.15,0.0,,,,,
310,5.1667,0.0,,,,,
311,5.1833,0.0,,,,,
312,5.2,0.0,,,,,
313,5.2167,0.0,,,,,
314,5.2333,0.0,,,,,
315,5.25,0.0,,,,,
316,5.2667,0.0,,,,,
317,5.2833,0.0,,,,,
318,5.3,0.0,,,,,
319,5.3167,0.0,,,,,
320,5.3333,0.0,,,,,
321,5.35,0.0,,,,,
322,5.3667,0.0,,,,,
323,5.3833,0.0,,,,,
324,5.4,0.0,,,,,
325,5.4167,0.0,,,,,
326,5.4333,0.0,,,,,
327,5.45,0.0,,,,,
328,5.4667,0.0,,,,,
329,5.4833,0.0,,,,,
330,5.5,0.0,,,,,
331,5.5167,0.0,,,,,
332,5.5333,0.0,,,,,
333,5.55,0.0,,,,,
334,5.5667,0.0,,,,,
335,5.5833,0.0,,,,,
336,5.6,0.0,,,,,
337,5.6167,0.0,,,,,
338,5.6333,0.0,,,,,
339,5.65,0.0,,,,,
340,5.6667,0.0,,,,,
341,5.6833,0.0,,,,,
342,5.7,0.0,,,,,
343,5.7167,0.0,,,,,
344,5.7333,0.0,,,,,
345,5.75,0.0,,,,,
346,5.7667,0.0,,,,,
347,5.7833,0.0,,,,,
348,5.8,0.0,,,,,
349,5.8167,0.0,,,,,
350,5.8333,0.0,,,,,
351,5.85,0.0,,,,,
352,5.8667,0.0,,,,,
353,5.8833,0.0,,,,,
354,5.9,0.0,,,,,
355,5.9167,0.0,,,,,
356,5.9333,0.0,,,,,
357,5.95,0.0,,,,,
358,5.9667,0.0,,,,,
359,5.9833,0.0,,,,,
360,6.0,0.0,,,,,
361,6.0167,0.0,,,,,
362,6.0333,0.0,,,,,
363,6.05,0.0,,,,,
364,6.0667,0.0,,,,,
365,6.0833,0.0,,,,,
366,6.1,0.0,,,,,
367,6.1167,0.0,,,,,
368,6.1333,0.0,,,,,
369,6.15,0.0,,,,,
370,6.1667,0.0,,,,,
371,6.1833,0.0,,,,,
372,6.2,0.0,,,,,
373,6.2167,0.0,,,,,
374,6.2333,0.0,,,,,
375,6.25,0.0,,,,,
376,6.2667,0.0,,,,,
377,6.2833,0.0,,,,,
378,6.3,0.0,,,,,
379,6.3167,3.18,,,,,
380,6.3333,5.27,,,,,
381,6.35,10.53,,,,,
382,6.3667,14.04,,,,,
383,6.3833,17.55,,,,,
384,6.4,21.05,,,,,
385,6.4167,22.95,,,,,
386,6.4333,28.07,,,,,
387,6.45,19.14,,,,,
388,6.4667,22.94,,,,,
389,6.4833,33.29,,,,,
390,6.5,42.09,,,,,
391,6.5167,45.6,,,,,
392,6.5333,44.62,,,,,
393,6.55,43.99,,,,,
394,6.5667,42.76,,,,,
395,6.5833,52.57,,,,,
396,6.6,63.1,,,,,
397,6.6167,66.59,,,,,
398,6.6333,64.79,,,,,
399,6.65,72.43,,,,,
400,6.6667,55.46,,,,,
401,6.6833,74.03,,,,,
402,6.7,84.05,,,,,
403,6.7167,87.53,,,,,
404,6.7333,91.02,,,,,
405,6.75,72.75,,,,,
406,6.7667,72.5,,,,,
407,6.7833,101.46,,,,,
408,6.8,82.35,,,,,
409,6.8167,94.57,,,,,
410,6.8333,111.88,,,,,
411,6.85,115.35,,,,,
412,6.8667,118.81,,,,,
413,6.8833,109.04,,,,,
414,6.9,120.49,,,,,
415,6.9167,129.19,,,,,
416,6.9333,108.72,,,,,
417,6.95,88.81,,,,,
418,6.9667,139.55,,,,,
419,6.9833,143.0,,,,,
420,7.0,146.44,,,,,
421,7.0167,149.88,,,,,
422,7.0333,124.6,,,,,
423,7.05,156.75,,,,,
424,7.0667,160.17,,,,,
425,7.0833,117.89,,,,,
426,7.1,167.02,,,,,
427,7.1167,120.95,,,,,
428,7.1333,173.85,,,,,
429,7.15,177.26,,,,,
430,7.1667,180.67,,,,,
431,7.1833,170.47,,,,,
432,7.2,187.47,,,,,
433,7.2167,190.87,,,,,
434,7.2333,194.26,,,,,
435,7.25,119.75,,,,,
436,7.2667,201.02,,,,,
437,7.2833,195.82,,,,,
438,7.3,152.61,,,,,
439,7.3167,211.14,,,,,
440,7.3333,92.5,,,,,
441,7.35,165.58,,,,,
442,7.3667,150.0,,,,,
443,7.3833,167.98,,,,,
444,7.4,109.77,,,,,
445,7.4167,198.03,,,,,
446,7.4333,78.08,,,,,
447,7.45,134.71,,,,,
448,7.4667,174.97,,,,,
449,7.4833,168.45,,,,,
450,7.5,133.47,,,,,
451,7.5167,139.74,,,,,
452,7.5333,224.64,,,,,
453,7.55,185.76,,,,,
454,7.5667,261.05,,,,,
455,7.5833,253.95,,,,,
456,7.6,208.91,,,,,
457,7.6167,188.89,,,,,
458,7.6333,200.87,,,,,
459,7.65,205.88,,,,,
460,7.6667,237.88,,,,,
461,7.6833,190.84,,,,,
462,7.7,152.46,,,,,
463,7.7167,202.58,,,,,
464,7.7333,262.28,,,,,
465,7.75,296.83,,,,,
466,7.7667,279.12,,,,,
467,7.7833,303.25,,,,,
468,7.8,306.45,,,,,
469,7.8167,294.22,,,,,
470,7.8333,312.84,,,,,
471,7.85,261.75,,,,,
472,7.8667,319.19,,,,,
473,7.8833,307.29,,,,,
474,7.9,325.52,,,,,
475,7.9167,328.67,,,,,
476,7.9333,331.81,,,,,
477,7.95,308.51,,,,,
478,7.9667,338.08,,,,,
479,7.9833,341.2,,,,,
480,8.0,344.32,,,,,
481,8.0167,334.04,,,,,
482,8.0333,295.95,,,,,
483,8.05,277.18,,,,,
484,8.0667,221.9,,,,,
485,8.0833,358.43,,,,,
486,8.1,362.85,,,,,
487,8.1167,365.9,,,,,
488,8.1333,328.77,,,,,
489,8.15,227.92,,,,,
490,8.1667,375.04,,,,,
491,8.1833,358.64,,,,,
492,8.2,381.08,,,,,
493,8.2167,384.09,,,,,
494,8.2333,387.09,,,,,
495,8.25,390.08,,,,,
496,8.2667,393.07,,,,,
497,8.2833,395.96,,,,,
498,8.3,356.23,,,,,
499,8.3167,401.97,,,,,
500,8.3333,404.92,,,,,
501,8.35,407.86,,,,,
502,8.3667,410.79,,,,,
503,8.3833,413.71,,,,,
504,8.4,416.62,,,,,
505,8.4167,363.48,,,,,
506,8.4333,422.42,,,,,
507,8.45,425.3,,,,,
508,8.4667,423.45,,,,,
509,8.4833,431.04,,,,,
510,8.5,433.9,,,,,
511,8.5167,436.74,,,,,
512,8.5333,439.58,,,,,
513,8.55,273.72,,,,,
514,8.5667,445.22,,,,,
515,8.5833,262.9,,,,,
516,8.6,450.83,,,,,
517,8.6167,453.61,,,,,
518,8.6333,456.39,,,,,
519,8.65,459.16,,,,,
520,8.6667,461.91,,,,,
521,8.6833,464.66,,,,,
522,8.7,435.79,,,,,
523,8.7167,470.12,,,,,
524,8.7333,431.35,,,,,
525,8.75,433.38,,,,,
526,8.7667,459.68,,,,,
527,8.7833,303.56,,,,,
528,8.8,354.05,,,,,
529,8.8167,486.25,,,,,
530,8.8333,488.9,,,,,
531,8.85,491.54,,,,,
532,8.8667,494.17,,,,,
533,8.8833,496.79,,,,,
534,8.9,499.4,,,,,
535,8.9167,501.99,,,,,
536,8.9333,296.94,,,,,
537,8.95,363.54,,,,,
538,8.9667,509.71,,,,,
539,8.9833,506.67,,,,,
540,9.0,514.8,,,,,
541,9.0167,517.33,,,,,
542,9.0333,519.85,,,,,
543,9.05,494.82,,,,,
544,9.0667,524.85,,,,,
545,9.0833,497.98,,,,,
546,9.1,425.19,,,,,
547,9.1167,297.08,,,,,
548,9.1333,433.67,,,,,
549,9.15,228.68,,,,,
550,9.1667,132.46,,,,,
551,9.1833,72.29,,,,,
552,9.2,122.24,,,,,
553,9.2167,96.86,,,,,
554,9.2333,157.18,,,,,
555,9.25,51.81,,,,,
556,9.2667,70.22,,,,,
557,9.2833,123.22,,,,,
558,9.3,115.3,,,,,
559,9.3167,83.93,,,,,
560,9.3333,220.11,,,,,
561,9.35,298.7,,,,,
562,9.3667,320.72,,,,,
563,9.3833,445.29,,,,,
564,9.4,371.24,,,,,
565,9.4167,428.65,,,,,
566,9.4333,318.5,,,,,
567,9.45,444.07,,,,,
568,9.4667,297.34,,,,,
569,9.4833,509.65,,,,,
570,9.5,438.48,,,,,
571,9.5167,263.88,,,,,
572,9.5333,362.3,,,,,
573,9.55,529.62,,,,,
574,9.5667,358.56,,,,,
575,9.5833,490.84,,,,,
576,9.6,352.83,,,,,
577,9.6167,320.75,,,,,
578,9.6333,464.09,,,,,
579,9.65,436.69,,,,,
580,9.6667,82.07,,,,,
581,9.6833,146.06,,,,,
582,9.7,104.48,,,,,
583,9.7167,95.3,,,,,
584,9.7333,150.69,,,,,
585,9.75,400.51,,,,,
586,9.7667,168.66,,,,,
587,9.7833,423.87,,,,,
588,9.8,515.63,,,,,
589,9.8167,335.79,,,,,
590,9.8333,378.57,,,,,
591,9.85,413.3,,,,,
592,9.8667,298.7,,,,,
593,9.8833,342.47,,,,,
594,9.9,481.09,,,,,
595,9.9167,635.37,,,,,
596,9.9333,507.33,,,,,
597,9.95,638.99,,,,,
598,9.9667,583.44,,,,,
599,9.9833,642.56,,,,,
600,10.0,644.32,,,,,
601,10.0167,646.07,,,,,
602,10.0333,543.27,,,,,
603,10.05,648.78,,,,,
604,10.0667,651.23,,,,,
605,10.0833,559.05,,,,,
606,10.1,654.59,,,,,
607,10.1167,656.25,,,,,
608,10.1333,569.27,,,,,
609,10.15,640.89,,,,,
610,10.1667,661.15,,,,,
611,10.1833,619.94,,,,,
612,10.2,385.49,,,,,
613,10.2167,496.7,,,,,
614,10.2333,524.77,,,,,
615,10.25,669.01,,,,,
616,10.2667,670.54,,,,,
617,10.2833,421.09,,,,,
618,10.3,647.56,,,,,
619,10.3167,675.03,,,,,
620,10.3333,395.67,,,,,
621,10.35,666.03,,,,,
622,10.3667,679.39,,,,,
623,10.3833,680.81,,,,,
624,10.4,682.22,,,,,
625,10.4167,387.44,,,,,
626,10.4333,684.99,,,,,
627,10.45,641.67,,,,,
628,10.4667,433.87,,,,,
629,10.4833,689.03,,,,,
630,10.5,449.11,,,,,
631,10.5167,691.65,,,,,
632,10.5333,692.94,,,,,
633,10.55,694.21,,,,,
634,10.5667,600.25,,,,,
635,10.5833,504.89,,,,,
636,10.6,697.92,,,,,
637,10.6167,699.13,,,,,
638,10.6333,700.32,,,,,
639,10.65,535.58,,,,,
640,10.6667,702.66,,,,,
641,10.6833,529.81,,,,,
642,10.7,687.68,,,,,
643,10.7167,668.99,,,,,
644,10.7333,679.79,,,,,
645,10.75,708.23,,,,,
646,10.7667,499.28,,,,,
647,10.7833,710.35,,,,,
648,10.8,711.39,,,,,
649,10.8167,712.41,,,,,
650,10.8333,557.71,,,,,
651,10.85,650.12,,,,,
652,10.8667,715.37,,,,,
653,10.8833,666.95,,,,,
654,10.9,717.27,,,,,
655,10.9167,714.28,,,,,
656,10.9333,452.8,,,,,
657,10.95,719.99,,,,,
658,10.9667,720.87,,,,,
659,10.9833,721.73,,,,,
660,11.0,722.57,,,,,
661,11.0167,723.4,,,,,
662,11.0333,415.83,,,,,
663,11.05,725.01,,,,,
664,11.0667,647.71,,,,,
665,11.0833,726.55,,,,,
666,11.1,438.8,,,,,
667,11.1167,703.8,,,,,
668,11.1333,602.2,,,,,
669,11.15,729.45,,,,,
670,11.1667,607.07,,,,,
671,11.1833,730.8,,,,,
672,11.2,648.88,,,,,
673,11.2167,732.08,,,,,
674,11.2333,732.7,,,,,
675,11.25,733.3,,,,,
676,11.2667,733.88,,,,,
677,11.2833,513.94,,,,,
678,11.3,584.83,,,,,
679,11.3167,476.37,,,,,
680,11.3333,736.06,,,,,
681,11.35,688.04,,,,,
682,11.3667,737.05,,,,,
683,11.3833,596.45,,,,,
684,11.4,479.65,,,,,
685,11.4167,680.25,,,,,
686,11.4333,407.69,,,,,
687,11.45,593.33,,,,,
688,11.4667,537.59,,,,,
689,11.4833,366.05,,,,,
690,11.5,552.71,,,,,
691,11.5167,569.18,,,,,
692,11.5333,626.21,,,,,
693,11.55,593.55,,,,,
694,11.5667,584.35,,,,,
695,11.5833,741.88,,,,,
696,11.6,491.89,,,,,
697,11.6167,742.38,,,,,
698,11.6333,742.6,,,,,
699,11.65,557.79,,,,,
700,11.6667,734.27,,,,,
701,11.6833,449.46,,,,,
702,11.7,561.24,,,,,
703,11.7167,481.91,,,,,
704,11.7333,743.59,,,,,
705,11.75,743.7,,,,,
706,11.7667,686.62,,,,,
707,11.7833,566.66,,,,,
708,11.8,743.93,,,,,
709,11.8167,743.97,,,,,
710,11.8333,708.36,,,,,
711,11.85,744.0,,,,,
712,11.8667,743.99,,,,,
713,11.8833,726.12,,,,,
714,11.9,743.93,,,,,
715,11.9167,743.87,,,,,
716,11.9333,743.79,,,,,
717,11.95,743.7,,,,,
718,11.9667,743.59,,,,,
719,11.9833,743.47,,,,,
720,12.0,701.79,,,,,
721,12.0167,743.17,,,,,
722,12.0333,743.0,,,,,
723,12.05,663.15,,,,,
724,12.0667,627.51,,,,,
725,12.0833,742.38,,,,,
726,12.1,742.14,,,,,
727,12.1167,741.88,,,,,
728,12.1333,741.61,,,,,
729,12.15,540.74,,,,,
730,12.1667,741.01,,,,,
731,12.1833,486.59,,,,,
732,12.2,740.35,,,,,
733,12.2167,484.68,,,,,
734,12.2333,739.63,,,,,
735,12.25,739.24,,,,,
736,12.2667,738.83,,,,,
737,12.2833,454.81,,,,,
738,12.3,489.9,,,,,
739,12.3167,737.52,,,,,
740,12.3333,452.24,,,,,
741,12.35,736.56,,,,,
742,12.3667,607.33,,,,,
743,12.3833,663.66,,,,,
744,12.4,735.0,,,,,
745,12.4167,626.46,,,,,
746,12.4333,733.88,,,,,
747,12.45,586.18,,,,,
748,12.4667,732.7,,,,,
749,12.4833,603.92,,,,,
750,12.5,728.2,,,,,
751,12.5167,730.8,,,,,
752,12.5333,730.13,,,,,
753,12.55,493.54,,,,,
754,12.5667,728.75,,,,,
755,12.5833,728.03,,,,,
756,12.6,727.3,,,,,
757,12.6167,452.14,,,,,
758,12.6333,725.79,,,,,
759,12.65,725.01,,,,,
760,12.6667,724.21,,,,,
761,12.6833,723.4,,,,,
762,12.7,394.11,,,,,
763,12.7167,721.73,,,,,
764,12.7333,720.87,,,,,
765,12.75,719.99,,,,,
766,12.7667,661.83,,,,,
767,12.7833,580.15,,,,,
768,12.8,564.47,,,,,
769,12.8167,433.08,,,,,
770,12.8333,698.1,,,,,
771,12.85,714.4,,,,,
772,12.8667,540.9,,,,,
773,12.8833,712.41,,,,,
774,12.9,432.94,,,,,
775,12.9167,701.28,,,,,
776,12.9333,431.01,,,,,
777,12.95,452.12,,,,,
778,12.9667,577.13,,,,,
779,12.9833,706.05,,,,,
780,13.0,704.94,,,,,
781,13.0167,703.81,,,,,
782,13.0333,702.66,,,,,
783,13.05,701.5,,,,,
784,13.0667,497.87,,,,,
785,13.0833,699.13,,,,,
786,13.1,697.92,,,,,
787,13.1167,631.43,,,,,
788,13.1333,451.3,,,,,
789,13.15,694.21,,,,,
790,13.1667,436.72,,,,,
791,13.1833,680.61,,,,,
792,13.2,478.87,,,,,
793,13.2167,540.28,,,,,
794,13.2333,408.38,,,,,
795,13.25,686.35,,,,,
796,13.2667,436.36,,,,,
797,13.2833,490.76,,,,,
798,13.3,538.74,,,,,
799,13.3167,680.81,,,,,
800,13.3333,401.13,,,,,
801,13.35,584.41,,,,,
802,13.3667,396.48,,,,,
803,13.3833,675.03,,,,,
804,13.4,470.08,,,,,
805,13.4167,568.65,,,,,
806,13.4333,619.03,,,,,
807,13.45,401.62,,,,,
808,13.4667,667.47,,,,,
809,13.4833,665.91,,,,,
810,13.5,376.75,,,,,
811,13.5167,644.1,,,,,
812,13.5333,502.74,,,,,
813,13.55,659.53,,,,,
814,13.5667,657.9,,,,,
815,13.5833,625.31,,,,,
816,13.6,654.59,,,,,
817,13.6167,652.92,,,,,
818,13.6333,651.23,,,,,
819,13.65,649.52,,,,,
820,13.6667,647.8,,,,,
821,13.6833,646.07,,,,,
822,13.7,644.32,,,,,
823,13.7167,550.64,,,,,
824,13.7333,619.59,,,,,
825,13.75,464.13,,,,,
826,13.7667,637.19,,,,,
827,13.7833,635.37,,,,,
828,13.8,448.55,,,,,
829,13.8167,631.69,,,,,
830,13.8333,420.95,,,,,
831,13.85,627.95,,,,,
832,13.8667,626.07,,,,,
833,13.8833,624.16,,,,,
834,13.9,622.25,,,,,
835,13.9167,620.31,,,,,
836,13.9333,502.1,,,,,
837,13.95,610.81,,,,,
838,13.9667,480.01,,,,,
839,13.9833,612.45,,,,,
840,14.0,610.45,,,,,
841,14.0167,411.02,,,,,
842,14.0333,606.41,,,,,
843,14.05,604.37,,,,,
844,14.0667,602.32,,,,,
845,14.0833,369.62,,,,,
846,14.1,598.17,,,,,
847,14.1167,449.71,,,,,
848,14.1333,593.97,,,,,
849,14.15,591.85,,,,,
850,14.1667,414.37,,,,,
851,14.1833,410.93,,,,,
852,14.2,585.41,,,,,
853,14.2167,475.63,,,,,
854,14.2333,581.06,,,,,
855,14.25,578.86,,,,,
856,14.2667,338.37,,,,,
857,14.2833,519.42,,,,,
858,14.3,572.19,,,,,
859,14.3167,569.94,,,,,
860,14.3333,567.67,,,,,
861,14.35,565.4,,,,,
862,14.3667,371.44,,,,,
863,14.3833,510.32,,,,,
864,14.4,409.02,,,,,
865,14.4167,556.18,,,,,
866,14.4333,553.84,,,,,
867,14.45,503.7,,,,,
868,14.4667,380.58,,,,,
869,14.4833,546.75,,,,,
870,14.5,544.37,,,,,
871,14.5167,454.82,,,,,
872,14.5333,539.56,,,,,
873,14.55,537.14,,,,,
874,14.5667,515.09,,,,,
875,14.5833,532.25,,,,,
876,14.6,529.8,,,,,
877,14.6167,527.33,,,,,
878,14.6333,524.85,,,,,
879,14.65,489.87,,,,,
880,14.6667,519.85,,,,,
881,14.6833,517.33,,,,,
882,14.7,514.8,,,,,
883,14.7167,512.26,,,,,
884,14.7333,401.76,,,,,
