year,doy,month,cvi,peak_ghi_wm2,daily_energy_wh_m2,daytime_mean_ghi,daytime_std_ghi,n_daytime_minutes
1,125,5,0.45,786.5,4280.2,329.0,231.2,780
1,126,5,0.45,790.5,4440.0,333.4,216.5,799
1,127,5,0.45,790.5,4236.6,318.9,231.1,797
1,128,5,0.45,790.5,4489.0,343.9,227.9,783
1,129,5,0.45,790.5,4156.7,311.3,237.9,801
1,130,5,0.45,790.5,4186.1,321.0,231.1,782
1,131,5,0.45,790.5,4156.0,312.0,208.6,799
1,132,5,0.45,790.5,4954.4,371.5,236.3,800
1,133,5,0.45,790.5,4615.5,347.4,240.0,797
1,134,5,0.45,790.4,4942.1,374.7,245.1,791
1,135,5,0.45,790.5,5141.6,387.4,243.7,796
1,136,5,0.45,790.3,4373.3,327.9,237.0,800
1,137,5,0.45,780.5,4025.5,306.8,224.3,787
1,138,5,0.45,790.5,4598.5,345.3,236.9,799
1,139,5,0.45,790.5,4887.0,366.5,247.1,800
1,140,5,0.45,790.5,4212.9,318.2,234.5,794
1,141,5,0.45,790.3,4678.2,352.5,241.9,796
1,142,5,0.45,790.5,4501.2,336.7,229.4,802
1,143,5,0.45,790.5,5146.4,388.3,233.2,795
1,144,5,0.45,790.5,4598.9,345.3,242.5,799
1,145,5,0.45,789.9,4436.6,332.7,223.7,800
1,146,5,0.45,789.8,4646.2,348.8,222.8,799
1,147,5,0.45,790.5,4193.0,317.5,233.6,792
1,148,5,0.45,789.9,3859.0,293.0,206.5,790
1,149,5,0.45,785.2,3610.7,274.4,202.5,789
1,150,5,0.45,790.5,4656.9,347.9,227.1,803
1,151,5,0.45,790.4,4698.1,353.2,231.7,798
1,152,6,0.7,760.1,3385.4,253.7,194.3,800
1,153,6,0.7,762.1,3714.5,279.8,213.6,796
1,154,6,0.7,762.3,3218.8,238.6,198.1,809
1,155,6,0.7,759.1,3624.0,272.0,211.8,799
1,156,6,0.7,762.5,3407.8,255.4,217.6,800
1,157,6,0.7,751.3,3218.6,241.0,195.9,801
1,158,6,0.7,761.8,3148.8,235.1,206.7,803
1,159,6,0.7,760.4,3497.7,264.1,205.8,794
1,160,6,0.7,762.4,3148.0,237.1,198.9,796
1,161,6,0.7,761.2,3236.9,239.1,200.4,812
1,162,6,0.7,762.4,3314.9,245.2,213.7,811
1,163,6,0.7,762.5,3432.3,253.9,203.9,811
1,164,6,0.7,757.6,3322.7,249.7,214.1,798
1,165,6,0.7,758.8,3412.3,253.9,211.2,806
1,166,6,0.7,761.8,3564.9,266.6,206.2,802
1,167,6,0.7,762.4,3642.2,272.7,237.3,801
1,168,6,0.7,762.4,3444.6,261.7,219.1,789
1,169,6,0.7,761.2,3297.1,253.0,215.7,781
1,170,6,0.7,761.9,3138.2,233.2,211.9,807
1,171,6,0.7,762.6,3806.2,285.0,226.8,801
1,172,6,0.7,759.1,3505.6,262.1,218.9,802
1,173,6,0.7,762.6,3092.3,230.6,189.9,804
1,174,6,0.7,735.5,2761.5,208.5,181.6,794
1,175,6,0.7,762.2,3233.7,245.4,210.5,790
1,176,6,0.7,762.6,3200.8,242.0,191.6,793
1,177,6,0.7,762.6,3134.2,234.1,200.0,803
1,178,6,0.7,762.6,3375.5,253.7,201.1,798
1,179,6,0.7,762.6,3342.0,249.9,204.9,802
1,180,6,0.7,762.5,3102.1,234.3,199.6,794
1,181,6,0.7,761.0,3133.9,234.3,198.0,802
1,182,7,0.85,744.0,3551.0,265.1,213.6,803
1,183,7,0.85,744.0,3174.2,237.0,202.1,803
1,184,7,0.85,739.5,3021.1,223.4,204.6,811
1,185,7,0.85,743.7,3102.3,232.2,198.0,801
1,186,7,0.85,744.0,3346.5,250.5,217.1,801
1,187,7,0.85,743.7,3014.7,222.1,201.3,814
1,188,7,0.85,744.0,3546.8,264.8,208.0,803
1,189,7,0.85,742.8,3322.7,244.3,196.1,816
1,190,7,0.85,736.3,3600.5,265.3,207.0,814
1,191,7,0.85,743.5,3339.8,246.7,220.2,812
1,192,7,0.85,744.0,3063.7,228.8,197.0,803
1,193,7,0.85,743.0,3799.9,282.4,211.5,807
1,194,7,0.85,744.0,3309.8,245.9,213.3,807
1,195,7,0.85,744.0,3426.8,252.2,211.5,815
1,196,7,0.85,743.7,3169.4,236.1,198.5,805
1,197,7,0.85,743.6,3282.4,246.0,214.5,800
1,198,7,0.85,744.0,3396.0,254.8,205.9,799
1,199,7,0.85,744.0,3441.9,258.6,215.0,798
1,200,7,0.85,744.0,3424.0,254.8,207.0,806
1,201,7,0.85,743.9,3268.8,245.9,207.6,797
1,202,7,0.85,744.0,3219.6,237.2,216.2,814
1,203,7,0.85,742.8,2872.0,218.2,193.7,789
1,204,7,0.85,744.0,3104.5,228.2,193.2,816
1,205,7,0.85,743.2,3448.5,257.8,199.2,802
1,206,7,0.85,743.7,2836.1,211.2,180.6,805
1,207,7,0.85,743.9,3332.9,246.2,196.8,812
1,208,7,0.85,744.0,3135.2,234.4,201.9,802
1,209,7,0.85,744.0,2983.3,221.7,202.3,807
1,210,7,0.85,744.0,3641.9,269.3,230.3,811
1,211,7,0.85,742.5,3139.6,232.7,197.9,809
1,212,7,0.85,744.0,3749.7,280.7,205.4,801
1,213,8,0.8,743.8,2729.4,206.9,181.6,791
1,214,8,0.8,744.0,3760.9,281.3,226.8,802
1,215,8,0.8,742.7,3016.4,231.0,193.9,783
1,216,8,0.8,744.0,3149.6,238.2,197.5,793
1,217,8,0.8,744.0,3348.9,253.3,204.6,793
1,218,8,0.8,742.7,3120.7,237.2,202.3,789
1,219,8,0.8,743.9,3222.3,244.9,208.0,789
1,220,8,0.8,743.9,3364.6,254.8,207.4,792
1,221,8,0.8,743.7,3546.7,267.6,211.2,795
1,222,8,0.8,743.9,3059.0,233.0,206.5,787
1,223,8,0.8,744.0,2922.9,221.3,199.8,792
1,224,8,0.8,743.3,3118.5,239.7,215.4,780
1,225,8,0.8,742.6,3286.5,248.6,214.2,793
1,226,8,0.8,742.6,3189.0,242.7,194.8,788
1,227,8,0.8,744.0,3453.4,260.5,222.3,795
1,228,8,0.8,743.8,3030.0,231.1,196.5,786
1,229,8,0.8,741.3,3423.3,260.5,212.0,788
1,230,8,0.8,743.7,3371.5,256.9,212.9,787
1,231,8,0.8,743.8,2831.6,214.4,195.6,792
1,232,8,0.8,744.0,3437.5,257.7,218.4,800
1,233,8,0.8,743.9,3541.7,268.5,217.8,791
1,234,8,0.8,744.0,3538.9,264.7,218.1,802
1,235,8,0.8,743.8,3134.4,237.9,197.6,790
1,236,8,0.8,744.0,3439.3,259.5,215.0,795
1,237,8,0.8,743.3,2903.9,219.1,190.8,795
1,238,8,0.8,744.0,3798.0,286.9,223.1,794
1,239,8,0.8,744.0,3140.3,244.1,207.8,771
1,240,8,0.8,744.0,2923.6,224.7,203.7,780
1,241,8,0.8,744.0,3068.6,231.2,199.9,796
1,242,8,0.8,743.3,3141.5,237.0,204.5,795
1,243,8,0.8,744.0,3075.6,234.3,196.0,787
1,244,9,0.65,760.6,2500.2,209.0,182.8,717
1,245,9,0.65,762.4,2833.8,235.0,203.2,723
1,246,9,0.65,761.1,3268.1,267.1,214.4,734
1,247,9,0.65,762.2,2970.5,243.1,216.0,733
1,248,9,0.65,762.4,3367.2,280.8,220.8,719
1,249,9,0.65,762.0,2990.4,248.7,205.3,721
1,250,9,0.65,762.6,3382.4,276.1,236.8,735
1,251,9,0.65,762.4,3105.8,260.8,212.7,714
1,252,9,0.65,762.6,2870.4,239.4,204.1,719
1,253,9,0.65,761.8,2987.0,246.8,218.7,726
1,254,9,0.65,762.6,3292.2,269.0,226.2,734
1,255,9,0.65,762.6,3168.6,258.3,208.4,736
1,256,9,0.65,762.6,3180.1,260.6,220.5,732
1,257,9,0.65,760.4,2502.9,206.7,189.7,726
1,258,9,0.65,742.1,2677.2,224.4,188.9,715
1,259,9,0.65,735.1,2449.9,202.1,170.1,727
1,260,9,0.65,762.6,3323.9,273.4,234.0,729
1,261,9,0.65,762.4,2718.8,224.3,200.0,727
1,262,9,0.65,762.4,2796.3,231.0,197.7,726
1,263,9,0.65,760.9,2903.1,238.5,203.2,730
1,264,9,0.65,758.0,2955.6,243.8,190.9,727
1,265,9,0.65,762.4,3004.6,246.9,203.1,730
1,266,9,0.65,762.4,2938.0,246.4,201.0,715
1,267,9,0.65,762.6,3032.9,248.9,220.4,731
1,268,9,0.65,762.6,3014.4,247.6,212.9,730
1,269,9,0.65,758.7,2749.4,230.9,198.6,714
1,270,9,0.65,762.6,2700.2,221.0,195.1,733
1,271,9,0.65,762.4,2944.9,241.6,205.6,731
1,272,9,0.65,759.3,2830.7,234.8,209.0,723
1,273,9,0.65,761.8,2766.5,229.5,197.2,723
1,274,10,0.3,762.6,3605.2,319.8,223.3,676
1,275,10,0.3,762.6,3792.0,331.1,237.5,687
1,276,10,0.3,762.6,3908.0,341.8,240.8,686
1,277,10,0.3,762.6,3628.3,319.1,235.0,682
1,278,10,0.3,762.6,3298.5,288.4,220.6,686
1,279,10,0.3,762.6,4098.1,360.9,247.2,681
1,280,10,0.3,762.6,3779.3,329.5,215.6,688
1,281,10,0.3,762.3,3748.8,326.4,230.4,689
1,282,10,0.3,760.1,3479.4,304.7,208.0,685
1,283,10,0.3,762.6,4007.5,354.5,221.9,678
1,284,10,0.3,762.6,3788.9,335.2,234.2,678
1,285,10,0.3,762.6,3726.7,324.5,216.6,689
1,286,10,0.3,762.6,3713.4,324.3,231.8,687
1,287,10,0.3,762.5,3683.3,323.0,216.7,684
1,288,10,0.3,762.6,3312.8,288.9,221.7,688
1,289,10,0.3,762.6,4070.8,357.5,216.8,683
1,290,10,0.3,762.6,3704.9,322.6,236.3,689
1,291,10,0.3,762.6,3873.5,338.2,215.9,687
1,292,10,0.3,762.6,3844.4,336.2,225.4,686
1,293,10,0.3,762.5,3770.8,328.3,228.9,689
1,294,10,0.3,761.1,3663.6,322.2,220.9,682
1,295,10,0.3,762.5,3943.0,345.3,220.1,685
1,296,10,0.3,762.6,3614.3,314.7,224.1,689
1,297,10,0.3,762.6,3621.7,315.3,225.6,689
1,298,10,0.3,762.1,3425.4,298.7,235.9,688
1,299,10,0.3,762.0,3809.3,336.0,212.6,680
1,300,10,0.3,761.1,3597.6,314.6,213.3,686
1,301,10,0.3,762.6,3582.3,314.1,225.3,684
1,302,10,0.3,762.0,3736.1,327.6,233.3,684
1,303,10,0.3,762.6,4120.8,358.3,233.2,690
1,304,10,0.3,762.6,4094.5,357.5,213.5,687
1,305,11,0.18,744.0,4132.9,375.7,220.6,660
1,306,11,0.18,744.0,3982.6,362.6,220.7,659
1,307,11,0.18,744.0,4413.1,400.6,217.2,661
1,308,11,0.18,744.0,4367.4,397.0,216.0,660
1,309,11,0.18,744.0,4627.0,421.2,218.8,659
1,310,11,0.18,743.9,4453.8,406.1,211.7,658
1,311,11,0.18,744.0,4403.3,400.9,221.4,659
1,312,11,0.18,744.0,4410.3,401.5,218.2,659
1,313,11,0.18,744.0,4054.5,368.6,232.6,660
1,314,11,0.18,744.0,4431.3,404.0,216.2,658
1,315,11,0.18,744.0,4267.3,388.5,222.7,659
1,316,11,0.18,744.0,4344.8,394.9,212.9,660
1,317,11,0.18,744.0,4394.0,402.4,223.7,655
1,318,11,0.18,744.0,4350.3,394.9,213.8,661
1,319,11,0.18,744.0,4510.3,410.6,215.1,659
1,320,11,0.18,743.7,3951.3,364.1,190.3,651
1,321,11,0.18,744.0,4102.9,372.4,227.6,661
1,322,11,0.18,744.0,3978.0,364.3,205.0,655
1,323,11,0.18,744.0,4479.5,407.2,224.9,660
1,324,11,0.18,743.0,4444.2,403.4,217.9,661
1,325,11,0.18,744.0,4422.8,402.6,219.7,659
1,326,11,0.18,744.0,4399.3,399.9,222.0,660
1,327,11,0.18,744.0,4157.8,378.5,222.2,659
1,328,11,0.18,744.0,4493.9,409.7,209.2,658
1,329,11,0.18,744.0,4364.9,397.3,210.3,659
1,330,11,0.18,743.0,4567.5,415.8,223.4,659
1,331,11,0.18,744.0,4397.2,400.3,224.4,659
1,332,11,0.18,744.0,4239.5,385.4,219.4,660
1,333,11,0.18,726.6,3741.3,340.6,209.9,659
1,334,11,0.18,744.0,4130.6,376.6,212.3,658
1,335,12,0.15,742.5,4160.6,391.9,212.5,637
1,336,12,0.15,741.7,4398.2,414.9,212.8,636
1,337,12,0.15,743.6,4351.4,411.1,222.0,635
1,338,12,0.15,744.0,4145.4,391.6,213.6,635
1,339,12,0.15,744.0,4239.8,399.3,210.1,637
1,340,12,0.15,743.7,4263.6,401.6,210.3,637
1,341,12,0.15,744.0,3993.9,376.7,211.4,636
1,342,12,0.15,744.0,4244.5,401.6,215.2,634
1,343,12,0.15,742.3,4173.8,393.7,213.1,636
1,344,12,0.15,744.0,4113.5,388.0,224.4,636
1,345,12,0.15,744.0,4310.8,408.5,226.6,633
1,346,12,0.15,744.0,4351.5,410.5,224.2,636
1,347,12,0.15,744.0,4159.0,392.9,220.7,635
1,348,12,0.15,743.9,4026.4,380.4,222.2,635
1,349,12,0.15,744.0,4047.8,382.4,210.8,635
1,350,12,0.15,744.0,4272.3,403.6,221.9,635
1,351,12,0.15,744.0,4298.4,411.2,219.3,627
1,352,12,0.15,738.0,3644.7,344.3,182.1,635
1,353,12,0.15,743.9,4041.2,380.6,213.8,637
1,354,12,0.15,743.6,3842.1,362.4,209.6,636
1,355,12,0.15,744.0,4072.7,384.2,228.4,636
1,356,12,0.15,744.0,4188.1,400.1,211.8,628
1,357,12,0.15,744.0,4415.4,417.8,218.8,634
1,358,12,0.15,743.3,4156.2,392.7,211.8,635
1,359,12,0.15,744.0,4154.7,391.9,222.9,636
1,360,12,0.15,743.1,4026.3,381.0,215.0,634
1,361,12,0.15,744.0,4167.9,392.6,221.4,637
1,362,12,0.15,744.0,3821.9,361.1,212.2,635
1,363,12,0.15,744.0,4236.6,399.0,220.5,637
1,364,12,0.15,738.4,4088.2,385.0,214.0,637
1,365,12,0.15,744.0,4226.9,398.7,226.3,636
2,1,1,0.15,744.0,4319.5,393.2,218.3,659
2,2,1,0.15,744.0,4382.7,398.4,220.7,660
2,3,1,0.15,744.0,4453.5,406.6,219.5,657
2,4,1,0.15,744.0,4459.8,406.6,219.8,658
2,5,1,0.15,744.0,4350.0,399.0,219.5,654
2,6,1,0.15,744.0,4462.7,406.3,228.6,659
2,7,1,0.15,744.0,4242.9,390.9,217.3,651
2,8,1,0.15,743.6,3625.7,330.1,212.5,659
2,9,1,0.15,744.0,4503.3,414.3,220.0,652
2,10,1,0.15,744.0,4541.5,414.1,220.3,658
2,11,1,0.15,744.0,4236.0,386.8,214.7,657
2,12,1,0.15,744.0,4218.5,385.2,213.9,657
2,13,1,0.15,744.0,4614.3,418.8,216.6,661
2,14,1,0.15,744.0,4220.4,387.7,230.0,653
2,15,1,0.15,744.0,4313.3,393.8,214.5,657
2,16,1,0.15,743.0,4401.5,400.7,213.0,659
2,17,1,0.15,744.0,4545.5,416.3,221.0,655
2,18,1,0.15,744.0,4267.5,387.9,209.1,660
2,19,1,0.15,744.0,4158.6,378.6,213.4,659
2,20,1,0.15,743.6,4088.0,372.1,211.2,659
2,21,1,0.15,744.0,4418.0,402.2,219.2,659
2,22,1,0.15,743.8,4580.2,418.8,209.8,656
2,23,1,0.15,744.0,4271.5,387.7,211.8,661
2,24,1,0.15,744.0,4341.2,395.2,218.8,659
2,25,1,0.15,744.0,4613.1,419.3,218.8,660
2,26,1,0.15,744.0,4363.0,398.4,218.1,657
2,27,1,0.15,743.2,3605.7,328.2,187.9,659
2,28,1,0.15,744.0,4432.4,402.9,213.3,660
2,29,1,0.15,744.0,4362.4,397.1,224.1,659
2,30,1,0.15,743.8,4211.1,383.4,214.4,659
2,31,1,0.15,744.0,4277.9,388.9,226.1,660
2,32,2,0.2,744.0,4538.2,393.4,225.3,692
2,33,2,0.2,744.0,4149.6,359.2,202.7,693
2,34,2,0.2,744.0,4534.7,392.6,209.0,693
2,35,2,0.2,744.0,4312.4,376.6,222.2,687
2,36,2,0.2,744.0,4658.3,403.3,221.5,693
2,37,2,0.2,744.0,4730.9,408.4,217.3,695
2,38,2,0.2,743.9,4423.5,382.4,216.4,694
2,39,2,0.2,744.0,4455.5,387.9,219.9,689
2,40,2,0.2,744.0,4731.0,410.1,219.2,692
2,41,2,0.2,744.0,4892.1,422.3,220.2,695
2,42,2,0.2,744.0,4273.9,370.5,206.1,692
2,43,2,0.2,744.0,4576.6,395.6,213.7,694
2,44,2,0.2,744.0,4745.5,410.2,216.6,694
2,45,2,0.2,744.0,4724.9,410.2,216.3,691
2,46,2,0.2,743.9,4606.9,398.3,217.3,694
2,47,2,0.2,744.0,4430.3,383.5,217.7,693
2,48,2,0.2,743.9,4359.5,377.4,218.5,693
2,49,2,0.2,744.0,4674.0,404.1,218.6,694
2,50,2,0.2,744.0,4317.5,373.2,213.7,694
2,51,2,0.2,744.0,4852.0,419.4,217.3,694
2,52,2,0.2,744.0,4418.8,382.5,224.9,693
2,53,2,0.2,744.0,4640.1,401.7,219.0,693
2,54,2,0.2,742.9,4493.0,389.0,205.7,693
2,55,2,0.2,744.0,4152.2,358.9,215.6,694
2,56,2,0.2,744.0,4510.2,395.0,211.8,685
2,57,2,0.2,744.0,4332.0,375.6,214.8,692
2,58,2,0.2,744.0,4697.0,407.2,215.6,692
2,59,2,0.2,744.0,4800.5,416.2,214.1,692
2,60,3,0.25,762.6,3899.4,325.3,247.4,719
2,61,3,0.25,762.6,4052.6,335.3,241.0,725
2,62,3,0.25,762.3,3653.9,302.7,218.0,724
2,63,3,0.25,762.5,3916.4,322.3,233.8,729
2,64,3,0.25,762.6,3458.1,286.9,224.9,723
2,65,3,0.25,762.4,3875.9,318.1,224.7,731
2,66,3,0.25,762.6,4135.5,341.2,235.1,727
2,67,3,0.25,761.9,3413.9,280.2,214.6,731
2,68,3,0.25,762.5,4120.8,342.8,218.4,721
2,69,3,0.25,760.1,3884.9,318.8,226.1,731
2,70,3,0.25,760.6,4175.0,347.3,247.1,721
2,71,3,0.25,762.6,3634.8,298.7,213.2,730
2,72,3,0.25,762.5,3432.1,284.7,201.8,723
2,73,3,0.25,762.6,3957.3,327.9,226.3,724
2,74,3,0.25,762.6,4295.7,353.0,224.5,730
2,75,3,0.25,762.6,3825.7,317.8,220.3,722
2,76,3,0.25,762.6,3825.4,317.8,234.2,722
2,77,3,0.25,761.8,3796.1,314.5,225.2,724
2,78,3,0.25,754.2,3463.5,285.8,202.6,727
2,79,3,0.25,762.6,3898.9,321.7,219.8,727
2,80,3,0.25,762.0,4126.7,339.6,223.6,729
2,81,3,0.25,762.3,3974.0,328.8,233.4,725
2,82,3,0.25,762.6,3895.7,323.6,232.3,722
2,83,3,0.25,762.5,3763.5,312.2,229.0,723
2,84,3,0.25,762.6,4030.4,331.6,217.0,729
2,85,3,0.25,762.6,4157.9,344.5,226.3,724
2,86,3,0.25,762.6,3525.1,292.0,227.0,724
2,87,3,0.25,762.6,3838.3,317.6,213.8,725
2,88,3,0.25,762.3,3902.5,321.1,221.1,729
2,89,3,0.25,762.6,4038.1,336.9,230.4,719
2,90,3,0.25,762.6,4234.2,352.8,235.1,720
2,91,4,0.3,790.4,4053.3,315.0,234.9,772
2,92,4,0.3,790.3,4154.0,326.5,225.9,763
2,93,4,0.3,788.9,4064.7,316.7,242.7,770
2,94,4,0.3,788.2,4664.1,363.8,241.6,769
2,95,4,0.3,790.5,4435.5,349.1,229.6,762
2,96,4,0.3,790.4,4101.6,320.8,217.4,767
2,97,4,0.3,790.5,4131.8,324.8,235.4,763
2,98,4,0.3,790.5,4024.1,315.1,217.2,766
2,99,4,0.3,790.5,4424.8,347.4,243.1,764
2,100,4,0.3,790.5,4381.6,345.3,235.9,761
2,101,4,0.3,790.0,4634.3,359.7,229.9,773
2,102,4,0.3,790.5,3814.7,300.6,214.4,761
2,103,4,0.3,785.1,4073.1,318.2,220.6,768
2,104,4,0.3,790.5,4330.0,336.1,241.1,773
2,105,4,0.3,790.5,4517.3,351.5,226.1,771
2,106,4,0.3,790.5,3964.2,311.6,220.1,763
2,107,4,0.3,790.4,4197.2,328.6,227.0,766
2,108,4,0.3,790.4,4257.4,331.7,222.3,770
2,109,4,0.3,790.0,4268.0,336.0,236.0,762
2,110,4,0.3,790.4,4590.4,359.5,236.8,766
2,111,4,0.3,790.0,3713.3,292.3,222.0,762
2,112,4,0.3,790.4,4281.7,332.7,231.7,772
2,113,4,0.3,790.3,4474.7,348.2,236.7,771
