ina219_read_ms,uart_parse_ms,vspo_compute_ms,blend_ms,pwm_update_ms,uart_tx_ms,full_artemis_tick_ms,loop_period_ms
8.546276,0.024121,0.015348,0.006126,0.000730,2.613939,11.287972,99.980226
8.784520,0.023363,0.019006,0.007923,0.000858,2.653913,11.538814,100.000217
8.428889,0.022355,0.013134,0.004844,0.000860,2.597780,11.170422,99.992558
8.382811,0.017873,0.017887,0.005088,0.000778,2.605806,11.096941,99.998042
8.494060,0.020448,0.016735,0.003756,0.000660,2.611281,11.255160,100.024672
8.650826,0.019552,0.018536,0.004129,0.000857,2.621198,11.379661,99.997542
8.700489,0.024884,0.019408,0.006242,0.000837,2.587262,11.417085,99.961640
8.375186,0.019057,0.018779,0.006144,0.000772,2.598606,11.111425,100.015847
8.591570,0.017452,0.018009,0.005517,0.000786,2.600851,11.318898,99.999524
8.522160,0.018866,0.021881,0.006337,0.000762,2.597816,11.200391,100.001712
8.500263,0.023254,0.016511,0.005523,0.001147,2.599759,11.221456,99.960000
8.335987,0.028208,0.014546,0.005090,0.000743,2.615604,11.083216,99.983417
8.651663,0.021097,0.017337,0.005580,0.000582,2.626902,11.452497,99.983363
8.378266,0.026663,0.020070,0.004798,0.000569,2.617177,11.155098,100.008138
8.492420,0.021674,0.023295,0.003674,0.000909,2.611866,11.266198,100.020151
8.514886,0.020644,0.024142,0.005727,0.000547,2.607495,11.267925,99.973560
8.664900,0.020118,0.019167,0.006393,0.000889,2.598039,11.420938,99.990610
8.624453,0.026229,0.021488,0.007166,0.000730,2.589552,11.352783,100.023118
8.398139,0.020180,0.022854,0.006619,0.000834,2.590104,11.092972,99.960000
8.512769,0.026820,0.016751,0.005691,0.000803,2.625128,11.254600,99.960000
8.642754,0.020458,0.022508,0.005156,0.000932,2.626436,11.407960,99.984807
8.427782,0.028781,0.019468,0.005893,0.000732,2.616624,11.168320,100.010548
8.515402,0.023753,0.017836,0.006320,0.000787,2.613132,11.256485,99.960000
8.499914,0.022585,0.019789,0.005935,0.000672,2.609220,11.235134,100.001193
8.349648,0.017494,0.020101,0.005490,0.000500,2.615619,11.118417,100.008856
8.450362,0.028050,0.012346,0.006376,0.000982,2.602326,11.127365,100.000247
8.417121,0.023174,0.018410,0.003704,0.000594,2.594804,11.111816,100.058000
8.632552,0.023835,0.018805,0.006641,0.000876,2.587740,11.353681,99.989398
8.526852,0.022541,0.016123,0.007710,0.000939,2.610449,11.259524,100.005684
8.604431,0.021992,0.018674,0.004749,0.000854,2.594133,11.366405,99.960000
8.512478,0.020031,0.016994,0.006608,0.000664,2.580434,11.236588,100.017563
8.487233,0.023426,0.015791,0.005608,0.001041,2.602323,11.220375,99.987194
8.512704,0.019841,0.017768,0.005252,0.000626,2.595983,11.220797,100.003146
8.519392,0.022469,0.012316,0.006681,0.000946,2.620501,11.265487,99.960000
8.515265,0.031589,0.019331,0.006635,0.000983,2.630579,11.281894,100.002116
8.389522,0.022243,0.019653,0.005836,0.000611,2.617909,11.105549,100.007578
8.596033,0.021729,0.019002,0.007765,0.000907,2.622349,11.330141,99.960000
8.585940,0.025849,0.019695,0.006548,0.000681,2.638676,11.369074,100.000674
8.722887,0.020202,0.016816,0.004209,0.000885,2.590302,11.442814,100.014992
8.481856,0.027728,0.016421,0.007556,0.000519,2.591081,11.207029,100.058000
8.461446,0.022304,0.012938,0.006147,0.001078,2.609993,11.228765,100.006083
8.439646,0.018698,0.013000,0.007626,0.000921,2.604026,11.145622,100.035028
8.250000,0.022656,0.015856,0.005044,0.000827,2.613500,11.000000,100.011166
8.440349,0.026151,0.020707,0.005120,0.000767,2.627005,11.216935,99.960000
8.556744,0.025538,0.017960,0.005572,0.001040,2.609463,11.320869,100.043390
8.408343,0.020739,0.021929,0.006362,0.000895,2.583574,11.107854,99.979143
8.275293,0.030107,0.020271,0.006756,0.000883,2.652123,11.072911,99.985572
8.613037,0.016078,0.015062,0.005282,0.000765,2.594060,11.318529,99.989368
8.473469,0.020421,0.016299,0.009462,0.000778,2.590647,11.172144,99.965834
8.477092,0.024659,0.014840,0.005088,0.000810,2.626470,11.231196,100.040398
8.455561,0.025627,0.013783,0.005612,0.000703,2.584451,11.152145,99.976543
8.518517,0.023347,0.018743,0.008048,0.000859,2.592184,11.261276,100.025048
8.555952,0.026639,0.019965,0.007910,0.001093,2.610254,11.310552,99.966441
8.394023,0.025357,0.015385,0.007545,0.000909,2.597695,11.117213,100.000335
8.466329,0.024308,0.021105,0.006409,0.000954,2.612231,11.236141,100.001984
8.530373,0.024086,0.020597,0.006155,0.000904,2.626862,11.318577,100.005950
8.644850,0.026530,0.016379,0.008273,0.001181,2.611385,11.376224,99.990192
8.452390,0.030409,0.019045,0.004751,0.000763,2.604040,11.159494,100.001823
8.669928,0.012157,0.015238,0.005427,0.000563,2.618213,11.387911,100.033205
8.588710,0.017151,0.018108,0.006057,0.000500,2.614718,11.328033,100.013035
8.639922,0.020195,0.019594,0.006210,0.000763,2.653644,11.373291,100.001944
8.458344,0.024902,0.012655,0.007069,0.000881,2.595559,11.137156,100.001047
8.600390,0.022467,0.022352,0.006120,0.000996,2.629648,11.385662,99.976621
8.544269,0.025123,0.013109,0.006316,0.000621,2.605986,11.275360,99.981650
8.388159,0.027934,0.018343,0.006474,0.000756,2.616414,11.148503,100.043336
8.549548,0.024474,0.016668,0.005706,0.001064,2.579572,11.258169,99.988496
8.473640,0.018436,0.020666,0.006242,0.000600,2.593285,11.182387,99.980108
8.418475,0.026789,0.015540,0.004845,0.000697,2.591011,11.143884,99.960000
8.447052,0.017258,0.016680,0.005080,0.000788,2.583684,11.146029,99.983523
8.434661,0.017536,0.027251,0.006007,0.000679,2.599964,11.187315,100.040202
8.440412,0.020451,0.023113,0.005646,0.000828,2.632639,11.202424,99.993051
8.546062,0.013741,0.020682,0.006612,0.000543,2.584272,11.257381,100.009531
8.464085,0.029382,0.016070,0.006039,0.000724,2.630298,11.222034,100.058000
8.363464,0.031564,0.019166,0.006268,0.000734,2.606714,11.084658,99.992978
8.614821,0.022112,0.013292,0.006950,0.000971,2.609034,11.333200,99.999974
8.533239,0.020595,0.015816,0.004261,0.000899,2.587479,11.255376,100.000289
8.508432,0.015535,0.019398,0.004889,0.000908,2.611784,11.222360,99.970245
8.495509,0.025193,0.020447,0.005675,0.000660,2.630628,11.258355,99.994483
8.407396,0.019659,0.017112,0.007793,0.001008,2.599848,11.121737,99.992414
8.583523,0.017546,0.020275,0.005570,0.000790,2.609933,11.310256,99.997282
8.426778,0.017242,0.020581,0.007789,0.001012,2.608473,11.189078,99.960000
8.478654,0.021640,0.015226,0.007006,0.000576,2.602354,11.179801,99.980641
8.399745,0.021082,0.018839,0.006111,0.000640,2.593522,11.099704,99.960000
8.376317,0.021377,0.017963,0.006415,0.000712,2.626426,11.110140,100.014334
8.509553,0.019506,0.022318,0.006586,0.001024,2.620805,11.283865,100.006437
8.666275,0.018086,0.014443,0.005579,0.000650,2.598277,11.393213,100.058000
8.445782,0.027447,0.019425,0.007470,0.000801,2.626901,11.176067,100.012475
8.731157,0.025341,0.017629,0.006460,0.000738,2.595552,11.438000,99.985880
8.593284,0.020067,0.024086,0.006008,0.000945,2.609953,11.327887,99.986801
8.553207,0.016551,0.011335,0.005408,0.000787,2.584393,11.243133,100.003588
8.435280,0.020134,0.023108,0.006575,0.001057,2.579392,11.131379,100.019152
8.528643,0.025680,0.017521,0.006578,0.000667,2.600902,11.276814,99.979467
8.683945,0.024266,0.019661,0.006860,0.001133,2.635225,11.431534,100.003888
8.627818,0.023707,0.013663,0.008289,0.000813,2.610842,11.371793,100.008457
8.407182,0.027477,0.014201,0.006654,0.000627,2.625740,11.160385,100.011922
8.437112,0.019547,0.017312,0.005408,0.000921,2.635758,11.191962,99.971810
8.629127,0.028043,0.018277,0.005369,0.000798,2.614641,11.338540,99.994970
8.462844,0.022417,0.011000,0.004779,0.000677,2.596952,11.158585,100.003250
8.640554,0.019439,0.016087,0.005060,0.001013,2.611085,11.398337,99.993463
8.395082,0.024818,0.016676,0.004742,0.000738,2.601765,11.132285,100.013449
8.600519,0.023540,0.017543,0.006979,0.000633,2.617540,11.315910,100.002752
8.619541,0.019687,0.020018,0.003825,0.000858,2.600954,11.349019,100.008422
8.599580,0.029936,0.018935,0.007447,0.000927,2.630517,11.332312,100.022063
8.586853,0.016193,0.017237,0.005399,0.000918,2.626511,11.348138,99.960000
8.480953,0.025092,0.014377,0.004668,0.000588,2.613338,11.203980,100.046838
8.550719,0.024143,0.013225,0.005196,0.001050,2.611416,11.318146,100.006487
8.534067,0.019347,0.018295,0.005959,0.000845,2.617204,11.300459,99.988005
8.643048,0.022033,0.022338,0.006065,0.000898,2.609187,11.398450,100.004927
8.623521,0.027422,0.018042,0.005513,0.000641,2.612862,11.344833,99.995761
8.498409,0.017425,0.020753,0.007051,0.000682,2.624636,11.249521,99.974051
8.444520,0.017948,0.014654,0.004719,0.000722,2.599745,11.141907,99.960000
8.517536,0.021986,0.020755,0.005085,0.000809,2.603977,11.238962,99.960000
8.498658,0.023998,0.017416,0.006719,0.001138,2.606796,11.217614,99.976946
8.526978,0.027113,0.018349,0.004718,0.000840,2.576191,11.229884,99.972491
8.374753,0.024228,0.020000,0.005234,0.000829,2.630243,11.146628,99.990381
8.608981,0.018341,0.020296,0.006543,0.001017,2.605316,11.354623,99.962797
8.733242,0.027223,0.018825,0.006616,0.001048,2.632685,11.456249,99.995223
8.404016,0.024753,0.019196,0.006600,0.000946,2.579474,11.093818,99.960000
8.546191,0.026545,0.019022,0.006673,0.000745,2.578072,11.232394,100.014601
8.652118,0.016246,0.015946,0.006003,0.000561,2.604526,11.394727,99.998342
8.424931,0.015351,0.017141,0.006222,0.000500,2.611015,11.133629,100.032681
8.465188,0.019816,0.018083,0.006167,0.000753,2.624858,11.225768,100.012525
8.522369,0.020996,0.022888,0.005969,0.000700,2.622388,11.277372,99.996997
8.524472,0.022053,0.014542,0.006955,0.000933,2.630720,11.295600,99.999692
8.518680,0.017905,0.018337,0.006053,0.001105,2.611300,11.246614,100.058000
8.600096,0.018252,0.021002,0.006890,0.000740,2.648705,11.364938,100.000223
8.334990,0.023488,0.020083,0.006043,0.000775,2.622981,11.104759,100.007361
8.590602,0.015064,0.015314,0.006942,0.000814,2.583465,11.314027,99.977616
8.539633,0.019471,0.014330,0.003723,0.000523,2.597759,11.252616,99.995325
8.511768,0.022548,0.016455,0.008039,0.000820,2.597522,11.229157,99.977566
8.571275,0.025232,0.018931,0.005171,0.000960,2.608292,11.299683,99.972894
8.529798,0.023092,0.020446,0.005705,0.001240,2.599465,11.254672,100.058000
8.576764,0.029145,0.017423,0.005560,0.000612,2.613972,11.342372,99.971257
8.547566,0.023462,0.018396,0.007926,0.000960,2.629133,11.291519,100.033616
8.591493,0.024840,0.016875,0.004613,0.001075,2.586720,11.330630,100.058000
8.393136,0.025783,0.015583,0.005712,0.000660,2.600312,11.094718,100.009221
8.414438,0.022377,0.021634,0.005780,0.000801,2.637329,11.185531,100.002179
8.509668,0.017030,0.023214,0.008392,0.001048,2.636985,11.260198,100.034453
8.371771,0.020561,0.017604,0.007429,0.000739,2.638707,11.143639,99.995629
8.429272,0.023194,0.015629,0.005170,0.000788,2.614311,11.216254,99.962578
8.383955,0.018446,0.019971,0.005768,0.000883,2.629694,11.124482,100.037973
8.421933,0.030413,0.013707,0.006175,0.001037,2.616770,11.194136,100.013439
8.570900,0.021175,0.014102,0.005256,0.000908,2.584871,11.250548,100.003704
8.554060,0.016100,0.018476,0.007467,0.000770,2.600004,11.286605,100.012207
8.330631,0.023066,0.023417,0.006356,0.000944,2.620970,11.134032,100.016928
8.534415,0.017680,0.016908,0.004357,0.000694,2.611620,11.272960,99.983643
8.620659,0.023890,0.018221,0.006109,0.000635,2.596071,11.313564,99.994042
8.685049,0.012000,0.022609,0.005979,0.000788,2.594512,11.391164,99.960000
8.530549,0.014894,0.014566,0.005555,0.000807,2.616378,11.266222,100.058000
8.378923,0.021859,0.013442,0.006287,0.000858,2.613654,11.093940,100.039044
8.472167,0.022595,0.024443,0.006737,0.000868,2.601400,11.241056,100.005090
8.580537,0.023464,0.021040,0.005777,0.000755,2.633599,11.360872,99.999204
8.590114,0.028686,0.016884,0.005410,0.000543,2.602433,11.309438,99.985157
8.543189,0.022085,0.019584,0.006389,0.000558,2.602738,11.289769,99.979863
8.636882,0.019478,0.020739,0.004305,0.000776,2.610387,11.379417,99.975440
8.534196,0.026341,0.017269,0.007018,0.000950,2.608677,11.240956,100.009787
8.484721,0.020163,0.025515,0.004703,0.000689,2.607879,11.258125,99.990804
8.538256,0.022992,0.013200,0.006172,0.000743,2.579130,11.263382,100.004147
8.667444,0.028703,0.022828,0.005845,0.000926,2.646772,11.413116,99.998451
8.509757,0.021926,0.019216,0.006561,0.000633,2.619221,11.283462,99.987467
8.576951,0.021700,0.018610,0.005454,0.000938,2.615616,11.318471,100.023438
8.280205,0.019115,0.018836,0.006427,0.000754,2.600829,11.021677,100.024813
8.501771,0.023208,0.016170,0.004385,0.000747,2.607874,11.232699,99.987475
8.714648,0.023963,0.017487,0.007407,0.000923,2.617001,11.436469,100.011086
8.597670,0.028858,0.016591,0.006581,0.000731,2.600131,11.332534,100.023437
8.619961,0.024830,0.013788,0.006968,0.000977,2.622481,11.399088,100.002963
8.598284,0.029537,0.019815,0.005501,0.000661,2.620121,11.315848,99.992022
8.386256,0.023211,0.014109,0.006262,0.000697,2.605231,11.113593,99.964754
8.458831,0.022892,0.015183,0.005609,0.000752,2.598723,11.167275,100.001014
8.642116,0.020494,0.023805,0.005999,0.000938,2.621491,11.405935,100.027186
8.348732,0.031147,0.016506,0.004937,0.000678,2.645522,11.099431,100.006631
8.428566,0.022107,0.022593,0.005946,0.000868,2.613843,11.182643,99.997513
8.361542,0.020756,0.021956,0.003412,0.000888,2.625285,11.106667,99.960000
8.474367,0.016677,0.018669,0.007115,0.000995,2.608207,11.217896,99.976994
8.516391,0.021627,0.022657,0.004786,0.000737,2.597774,11.242581,99.960000
8.624495,0.025087,0.016341,0.006892,0.000884,2.627958,11.360503,99.998707
8.442802,0.013629,0.015388,0.007396,0.000960,2.605587,11.163774,100.011739
8.664419,0.017751,0.016625,0.006715,0.001125,2.643620,11.437430,99.999592
8.558286,0.018427,0.016939,0.004880,0.000823,2.600380,11.283382,100.008857
8.489466,0.020891,0.019476,0.006346,0.000892,2.586869,11.235468,99.977357
8.468114,0.025810,0.023825,0.006740,0.000850,2.614862,11.214094,100.023375
8.385993,0.020780,0.015500,0.006806,0.000500,2.622761,11.139903,99.965182
8.558881,0.023773,0.017164,0.006448,0.000835,2.623091,11.328566,100.036647
8.682313,0.023375,0.017911,0.006108,0.000795,2.611689,11.454614,100.035602
8.513667,0.027157,0.018771,0.005715,0.000635,2.591531,11.228550,99.971166
8.376325,0.020966,0.017012,0.005765,0.000677,2.627296,11.121474,100.006200
8.510906,0.025310,0.022055,0.006198,0.000780,2.594723,11.236930,100.013600
8.463803,0.020916,0.016807,0.005952,0.000823,2.644549,11.214766,99.961527
8.438447,0.022619,0.015187,0.005723,0.000798,2.601616,11.141406,99.992804
8.334634,0.021128,0.022985,0.005670,0.000730,2.607111,11.090920,100.003044
8.516438,0.017915,0.022177,0.006080,0.000814,2.605937,11.261379,100.000457
8.642756,0.023964,0.017953,0.005447,0.000947,2.631599,11.426953,100.011174
8.605172,0.026071,0.015352,0.006955,0.000788,2.639997,11.403887,99.974740
8.577821,0.018368,0.018483,0.006088,0.001003,2.617417,11.305920,99.960000
8.518622,0.023241,0.020161,0.007204,0.001049,2.617756,11.264914,100.049109
8.588005,0.021715,0.022683,0.005315,0.000973,2.595607,11.300372,99.960000
8.607065,0.014371,0.022956,0.005142,0.000743,2.625230,11.352167,99.973661
8.494359,0.029568,0.017202,0.005488,0.000783,2.574560,11.230637,100.002127
8.567599,0.027869,0.018301,0.005912,0.000500,2.627455,11.301817,100.012192
8.492979,0.026551,0.017495,0.006025,0.000768,2.617046,11.268018,100.008315
8.625213,0.026314,0.018254,0.007010,0.000744,2.597224,11.341464,99.970460
8.491180,0.018422,0.016730,0.003964,0.000665,2.622607,11.245624,99.976254
8.587866,0.013007,0.016999,0.006275,0.000500,2.621902,11.369184,100.004683
8.609820,0.022107,0.017611,0.004395,0.000920,2.639120,11.399490,99.960000
8.597794,0.024216,0.018420,0.005096,0.000957,2.635746,11.336571,99.960000
8.540186,0.021162,0.012679,0.005838,0.000759,2.612971,11.277075,99.965311
8.468637,0.020846,0.016888,0.006072,0.000924,2.617251,11.237610,100.003200
8.496746,0.026340,0.020283,0.007340,0.000738,2.591065,11.197224,99.985105
8.534627,0.025558,0.019426,0.005801,0.000500,2.622666,11.262752,99.999593
8.469092,0.024168,0.020165,0.007245,0.000779,2.591619,11.196025,100.051175
8.388591,0.019934,0.020314,0.006653,0.000719,2.601439,11.091887,100.001495
8.483037,0.032054,0.019693,0.005839,0.000747,2.588364,11.183871,100.023884
8.475391,0.025181,0.021219,0.006954,0.000771,2.601710,11.209086,99.977080
8.481927,0.022556,0.018182,0.005591,0.000618,2.617963,11.250134,100.043019
8.517586,0.017514,0.014469,0.006593,0.000539,2.597194,11.240261,100.034358
8.500550,0.015845,0.021826,0.007927,0.000948,2.610969,11.260782,100.000197
8.634083,0.012000,0.019150,0.006743,0.000807,2.591186,11.351533,99.975925
8.717198,0.020936,0.012993,0.005986,0.000854,2.617227,11.461979,100.025344
8.651950,0.023168,0.020624,0.005379,0.000614,2.624048,11.423262,99.993217
8.528356,0.021267,0.020441,0.005760,0.000500,2.611356,11.257952,100.011951
8.601161,0.021947,0.014205,0.005416,0.000557,2.609354,11.329412,100.036612
8.558707,0.022906,0.019372,0.007822,0.000981,2.595955,11.282057,99.993363
8.692849,0.025200,0.017951,0.006889,0.000869,2.620437,11.437977,100.058000
8.692854,0.015609,0.019169,0.006210,0.000500,2.628142,11.422422,99.997553
8.593314,0.018061,0.016375,0.006513,0.000675,2.606740,11.315372,99.997577
8.456396,0.025809,0.023081,0.008021,0.000599,2.609660,11.196555,100.034477
8.450631,0.023170,0.015253,0.005842,0.000797,2.602840,11.199323,99.982254
8.516347,0.025277,0.014928,0.005746,0.001069,2.590612,11.219667,100.003656
8.505297,0.018133,0.016751,0.007614,0.000701,2.608306,11.253336,99.983708
8.486423,0.028346,0.017886,0.006803,0.000859,2.585996,11.195028,99.986805
8.619565,0.023931,0.016320,0.005059,0.000773,2.627520,11.409300,99.960000
8.400407,0.020902,0.022429,0.006704,0.000725,2.637077,11.148437,99.988285
8.358923,0.019961,0.014998,0.006068,0.000641,2.624036,11.043298,99.960000
8.405163,0.022769,0.024911,0.005841,0.000697,2.615218,11.168013,100.010378
8.400977,0.022730,0.013769,0.005711,0.000889,2.608288,11.141955,100.023139
8.527744,0.021615,0.019356,0.005609,0.000870,2.611577,11.275781,99.981046
8.418452,0.029652,0.023215,0.006237,0.000914,2.591257,11.180467,100.003301
8.637192,0.026653,0.024956,0.006922,0.000684,2.613984,11.413725,99.989466
8.318542,0.024046,0.017410,0.005157,0.000699,2.611402,11.047480,99.987889
8.677211,0.022164,0.013633,0.006536,0.000825,2.620130,11.403275,99.975508
8.656850,0.021132,0.015946,0.004596,0.000778,2.637322,11.420119,100.009780
8.426921,0.024252,0.016536,0.005834,0.000666,2.615091,11.155990,99.999425
8.538145,0.012000,0.020070,0.007059,0.000725,2.635640,11.283207,99.995678
8.632021,0.023384,0.015239,0.006084,0.001051,2.624022,11.371941,99.997186
8.610175,0.022783,0.020908,0.005763,0.000779,2.600819,11.361858,100.058000
8.573061,0.031988,0.015334,0.007579,0.000890,2.621854,11.353486,100.034188
8.544354,0.026766,0.020510,0.006663,0.000950,2.612872,11.295145,99.993723
8.626904,0.022818,0.025695,0.006411,0.000787,2.620501,11.404046,99.996262
8.488408,0.022454,0.020407,0.006688,0.001083,2.620708,11.226849,100.008070
8.313808,0.019630,0.021688,0.004824,0.000855,2.618301,11.057571,100.003944
8.443172,0.022402,0.018781,0.005832,0.000935,2.610300,11.197352,100.002099
8.598678,0.021753,0.017314,0.007900,0.000749,2.622081,11.336197,99.974095
8.710130,0.014136,0.019805,0.006867,0.000923,2.608942,11.469938,100.010792
8.475467,0.022078,0.020061,0.007767,0.000807,2.602517,11.206294,100.002444
8.647515,0.015423,0.011000,0.005227,0.000910,2.613171,11.376300,100.020190
8.624414,0.019434,0.015880,0.005734,0.000721,2.590309,11.353833,99.963906
8.528239,0.019449,0.024491,0.006955,0.000723,2.622139,11.253689,99.975373
8.457177,0.025795,0.020023,0.007018,0.000799,2.625767,11.226179,100.007868
8.611847,0.029132,0.018868,0.004134,0.000927,2.611019,11.348836,99.986887
8.513384,0.028804,0.017100,0.006178,0.000612,2.634078,11.246291,100.016874
8.617868,0.020726,0.017133,0.005860,0.000825,2.626417,11.362917,99.960000
8.582714,0.021806,0.017807,0.005486,0.000803,2.616674,11.338510,99.965671
8.338347,0.024536,0.011000,0.006478,0.000982,2.622445,11.041063,100.007374
8.358654,0.022815,0.023354,0.005176,0.000500,2.626852,11.124288,99.991924
8.578406,0.027747,0.019377,0.006391,0.000586,2.606431,11.276915,99.996327
8.551251,0.024833,0.015841,0.006585,0.000935,2.620652,11.285853,100.015047
8.387484,0.022605,0.022141,0.005389,0.000869,2.623622,11.137580,100.004663
8.591952,0.030560,0.017811,0.005958,0.000897,2.621075,11.379672,100.018827
8.648288,0.028259,0.022385,0.003564,0.000822,2.607087,11.394586,99.981648
8.589533,0.029495,0.016330,0.006370,0.000867,2.632143,11.357992,100.026082
8.565755,0.023966,0.020646,0.005860,0.000886,2.580858,11.290116,99.960000
8.646884,0.024834,0.013232,0.004161,0.000955,2.607048,11.393533,100.058000
8.377640,0.024566,0.020758,0.004143,0.000622,2.612832,11.120431,99.991066
8.504930,0.024291,0.013686,0.005723,0.000693,2.636235,11.269548,99.979203
8.464034,0.018670,0.018214,0.007951,0.000986,2.589593,11.187665,99.960000
8.661883,0.023173,0.019390,0.006025,0.000984,2.595021,11.379008,100.017961
8.712571,0.016383,0.013325,0.004722,0.000671,2.594584,11.443277,100.012974
8.508462,0.023919,0.018574,0.005556,0.001079,2.607706,11.255287,99.994116
8.582291,0.029995,0.016822,0.003778,0.000901,2.599436,11.330919,100.022360
8.680922,0.026965,0.018533,0.005206,0.000955,2.594794,11.427309,99.990638
8.610853,0.024427,0.021107,0.005021,0.000782,2.624346,11.352087,99.984405
8.537605,0.022004,0.018200,0.005941,0.000686,2.618567,11.276274,100.013693
8.548206,0.025213,0.021946,0.007007,0.000819,2.609848,11.299529,100.004493
8.590195,0.019196,0.015728,0.005540,0.000804,2.600156,11.304793,99.990562
8.535244,0.019604,0.015323,0.007803,0.000644,2.606004,11.258816,99.960000
8.427647,0.017153,0.021023,0.005780,0.000828,2.608333,11.155732,99.960000
8.379433,0.023740,0.015057,0.006118,0.000818,2.642653,11.144801,99.987675
8.443966,0.018087,0.019252,0.005678,0.000560,2.594140,11.178909,100.006332
8.489479,0.024493,0.015618,0.004821,0.000687,2.602927,11.176111,99.987184
8.585189,0.027080,0.017965,0.005185,0.000790,2.602840,11.331919,99.960000
8.540220,0.025394,0.019355,0.005410,0.000690,2.607903,11.257527,100.023297
8.424159,0.023868,0.015922,0.007357,0.000912,2.621599,11.206915,100.027214
8.502181,0.024714,0.016071,0.005704,0.000989,2.589784,11.227074,100.008838
8.570556,0.020498,0.013801,0.004425,0.000649,2.594771,11.303899,99.992156
8.536587,0.025154,0.020550,0.006172,0.000842,2.627755,11.309825,99.960000
8.438839,0.028938,0.015432,0.006193,0.000870,2.614475,11.188219,100.019847
8.509764,0.028305,0.015222,0.004795,0.000940,2.633434,11.261739,99.995889
8.580827,0.020282,0.017833,0.006297,0.000574,2.599991,11.308275,100.001257
8.490530,0.024583,0.016966,0.006084,0.000655,2.587635,11.229728,100.014632
8.569532,0.022120,0.015572,0.004590,0.000862,2.601495,11.283884,100.002621
8.519103,0.028588,0.018977,0.006809,0.000980,2.599942,11.247889,100.046319
8.564954,0.024459,0.018266,0.004505,0.000853,2.620400,11.305293,100.011470
8.533128,0.023089,0.015919,0.005042,0.000676,2.598139,11.260063,99.960000
8.738839,0.020118,0.016479,0.006535,0.000878,2.611837,11.469684,99.984170
8.441447,0.023179,0.021706,0.004338,0.000695,2.621943,11.212177,99.965767
8.402963,0.021688,0.018235,0.003328,0.000585,2.612620,11.116767,99.977587
8.612986,0.022417,0.016357,0.005262,0.000826,2.605670,11.323218,99.978258
8.429404,0.021458,0.017606,0.006044,0.000945,2.606002,11.176016,99.994160
8.441216,0.018182,0.019521,0.005907,0.000959,2.614222,11.199521,100.009730
8.586453,0.023692,0.023577,0.005449,0.000839,2.620925,11.353695,99.960000
8.270365,0.024595,0.014394,0.004563,0.000694,2.595348,11.026838,99.990752
8.558787,0.023236,0.019191,0.006992,0.000627,2.589815,11.300500,99.984322
8.490465,0.024292,0.016263,0.006826,0.000906,2.633969,11.239099,100.015374
8.582568,0.028027,0.018827,0.006087,0.000657,2.587778,11.283372,100.005616
8.437702,0.026847,0.016272,0.006393,0.000846,2.605896,11.166912,100.025134
8.612411,0.030524,0.015750,0.004119,0.000861,2.597204,11.331998,100.002691
8.560308,0.025241,0.015689,0.006593,0.000701,2.629793,11.325131,100.029380
8.529577,0.026122,0.016451,0.007271,0.000776,2.614242,11.266315,99.998061
